link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/len-u-nas-v-ponuke-predaj-vynimocneho-2-izboveho-bytu-na-tomasikovej-ulici-v-dizajnovom-projekte-nido-v-ruzinove/Juiq6sYUsOh/,Len u nás v ponuke: Predaj výnimočného 2 izbového bytu na Tomášikovej ulici v dizajnovom projekte NIDO v Ružinove, Bratislava-Nové Mesto  Tomášikova,240 000 ,4211 €/m², 57 m²
https://www.reality.sk//byty/na-predaj-uplne-novy-3-izbovy-byt-v-novostavbe-ovocne-sady-ruzinov/JuMCwz7OHeK/,"Na  predaj úplne nový 3-izbový byt v novostavbe Ovocné Sady, Ružinov.", Bratislava-Ružinov  Ivanská cesta,205 000 ,3144 €/m²," 65,2 m²"
https://www.reality.sk//byty/predaj-exkluzivneho-2-izboveho-atelieru-v-projekte-eurovea-tower/JudUwQvfnZC/,Predaj exkluzívneho 2-izbového ateliéru v projekte EUROVEA TOWER, Bratislava-Staré Mesto  Pribinova,379 000 ,7650 €/m²," 49,54 m²"
https://www.reality.sk//byty/3-izbovy-byt-v-starom-meste-na-sancovej-ulici/JuCrJUAiU2e/,3-izbový byt v Starom meste na Šancovej ulici, Bratislava-Staré Mesto  Šancová,219 000 ,3369 €/m², 65 m²
https://www.reality.sk//byty/novostavba-velmi-pekny-1-5izb-byt-s-predzahradkou-a-parkovacim-statim-devinka-pod-lesom-ul-vukovarska/JuQ1qEqMDvR/,"NOVOSTAVBA - Veľmi pekný 1,5izb. byt s predzáhradkou a parkovacím státím,  Devínka pod lesom, ul. Vukovarská", Bratislava-Devínska Nová Ves  Vukovarská,159 900 ,2421 €/m²," 66,04 m²"
https://www.reality.sk//byty/novostavba-stylovy-1-5izb-byt-s-predzahradkou-a-parkovacim-statim-devinka-pod-lesom-ul-vukovarska/JuFYsOQEM3N/,"NOVOSTAVBA -  Štýlový 1,5izb. byt s predzáhradkou a parkovacím státím, Devínka pod lesom, ul. Vukovarská", Bratislava-Devínska Nová Ves  Vukovarská,159 900 ,2421 €/m²," 66,04 m²"
https://www.reality.sk//byty/renatas-predaj-2izb-po-kompletnej-rekonstrukcii/JujzZQc5c61/,RENATAS - PREDAJ 2IZB. PO KOMPLETNEJ REKONŠTRUKCII, Bratislava-Nové Mesto  Vajnorská,154 000 ,4053 €/m², 38 m²
https://www.reality.sk//byty/renatas-2izbovy-byt-timravina-hradny-kopec/Jup_26KQYXw/,RENATAS - 2IZBOVÝ BYT TIMRAVINA - HRADNÝ KOPEC, Bratislava-Staré Mesto  Timravina,319 000 ,6380 €/m², 50 m²
https://www.reality.sk//byty/prakticky-2-izb-byt-v-novostavbe/Jut-PAVC-KA/,Praktický 2 izb byt v novostavbe, Bratislava-Ružinov  Ivanská cesta,162 000 ,3447 €/m², 47 m²
https://www.reality.sk//byty/lexxus-stylovy-a-velkolepo-priestranny-3i-mezonet-s-krbom-a-saunou/JuX-URvtvrm/,LEXXUS | štýlový a veľkolepo priestranný 3i mezonet s krbom a saunou, Bratislava-Ružinov  Bazová,449 900 ,3408 €/m², 132 m²
https://www.reality.sk//byty/lexxus-moderny-a-dizajnovy-3i-penthouse-v-parku-s-parkovanim-nuppu/JunG6-gapOx/,"LEXXUS | moderný a dizajnový 3i Penthouse v parku, s parkovaním, NUPPU", Bratislava-Ružinov  Mlynské nivy,329 000 ,4446 €/m², 74 m²
https://www.reality.sk//byty/novy-3-izbovy-byt-s-velkou-loggiou-kompletna-rekonstrukcia-11-2023-mudrochova-ul-bratislava-raca/JucrBZIyi1JT/,NOVÝ - 3 izbový byt s veľkou loggiou - kompletná rekonštrukcia 11/2023 - Mudrochova ul. Bratislava Rača, Bratislava-Rača  Mudrochova,209 800 ,2997 €/m², 70 m²
https://www.reality.sk//byty/ponukame-na-predaj-3-izbovy-byt-71-88m2-s-loggiou-v-oblubenej-lokalite-ul-lackova/JuDtfscQS84/,"Ponúkame na predaj 3-izbový byt 71,88m2 s loggiou v obľúbenej lokalite, ul. Lackova", Bratislava-Karlova Ves  Lackova,159 900 ,2225 €/m²," 71,88 m²"
https://www.reality.sk//byty/na-predaj-2-izbovy-byt-v-bratislave-dubravka-pri-oc-saratov-8poschodova-bytovka/Ju6j6tBuksY/,Na predaj 2 izbový byt v Bratislave Dúbravka pri OC Saratov 8poschodová bytovka, Bratislava-Dúbravka  Fedákova,129 900 ,2451 €/m², 53 m²
https://www.reality.sk//byty/bezbarierovy-3-izbovy-novo-zrekonstruovany-byt-s-loggiou-v-zelenej-casti-dubravka/Ju0XL9a230z/,BEZBARIÉROVÝ – 3 izbový NOVO zrekonštruovaný byt s loggiou v zelenej časti Dúbravka, Bratislava-Dúbravka  Nejedlého,188 700 ,2550 €/m², 74 m²
https://www.reality.sk//byty/1-izb-byt-s-velkou-terasou-v-novsej-stavbe-2009-kresankova-7a-bratislava-iv/JuwSiPW2CV6j/,"1 izb. byt s veľkou terasou v novšej stavbe 2009 - Kresánkova 7A, Bratislava IV", Bratislava-Karlova Ves  Kresánkova,139 800 ,3039 €/m², 46 m²
