link,name,adr,price
https://www.nehnutelnosti.sk/5347110/na-predaj-1izbovy-byt-v-karlovej-vsi-na-silvanskej-ul/,Na predaj 1izbový byt v Karlovej Vsi na Silvánskej ul.,"Silvánska, Bratislava IV - Karlova Ves, okres Bratislava",119 900 €
https://www.nehnutelnosti.sk/5344872/2-izbovy-byt-50-m2-v-novostavbe-kopcianka-parking-pivnica/,"2 izbový byt 50 m2 v novostavbe Kopčianka + parking, pivnica","Kopčianska, Bratislava V - Petržalka, okres Bratislava",179 900 €
https://www.nehnutelnosti.sk/5343800/3-izbovy-byt-82m2-na-skok-do-centra-nova-rekonstrukcia/,3 izbový byt 82m2 na skok do centra - nová rekonštrukcia,"Blagoevova, Bratislava V - Petržalka, okres Bratislava",219 900 €
https://www.nehnutelnosti.sk/5317404/metropolitan-exkluzivne-slnecny-2i-byt-v-matadorke-balkon-parking/,"METROPOLITAN | EXKLUZÍVNE Slnečný 2i byt v MATADORKE, balkón, parking","Gustáva Mallého, Bratislava V - Petržalka, okres Bratislava",170 000 €
https://www.nehnutelnosti.sk/5181133/luxusny-5-izbovy-byt-v-novostavbe-na-lukrativnej-adrese-pod-bratislavskym-hradom/,LUXUSNÝ 5-IZBOVÝ BYT V NOVOSTAVBE NA LUKRATÍVNEJ ADRESE POD BRATISLAVSKÝM HRADOM,"Zochova, Bratislava I - Staré Mesto, okres Bratislava",Cena dohodou
https://www.nehnutelnosti.sk/5335882/aark-1-izbovy-byt-bezova-8-bratislava-petrzalka-slnecnice/,"AARK: 1 izbový byt, Béžova 8, Bratislava - Petržalka - SLNEČNICE","Béžová 8, Bratislava V - Petržalka, okres Bratislava",126 000 €
https://www.nehnutelnosti.sk/5289028/2-izbovy-byt-v-historickom-centre/,2 izbový byt v historickom centre,"Sedlárska 363/8, Bratislava I - Staré Mesto, okres Bratislava",340 000 €
https://www.nehnutelnosti.sk/5296472/lukrativny-3-izbovy-byt-v-historickom-mestskom-dome-v-starom-meste-s-vlastnou-garazou-a-atelierom/,LUKRATÍVNY 3-IZBOVÝ BYT V HISTORICKOM MESTSKOM DOME V STAROM MESTE S VLASTNOU GARÁŽOU A ATELIÉROM,"Čajkovského, Bratislava I - Staré Mesto, okres Bratislava",499 000 €
https://www.nehnutelnosti.sk/5311032/babony-tre-na-predaj-krasny-3-izbovy-byt-v-ruzinove-ostredky/,Babony TRE | Na predaj krásny 3 izbový byt v Ružinove - Ostredky,"Ostredková, Bratislava II - Ružinov, okres Bratislava",239 900 €
https://www.nehnutelnosti.sk/5325736/dvojizbovy-bezbarierovy-byt-na-predaj-v-ruzinove/,Dvojizbový bezbariérový byt na predaj v Ružinove,"Vlčie hrdlo, Bratislava II - Ružinov, okres Bratislava",125 000 €
https://www.nehnutelnosti.sk/5324768/bosen-prijemny-slnecny-2-izb-byt-na-ulici-pri-hrubej-luke-bratislava-dubravka-57-m2/,"BOSEN | Príjemný, slnečný 2 izb. byt na ulici Pri Hrubej lúke, Bratislava - Dúbravka, 57 m2","Pri Hrubej lúke, Bratislava IV - Dúbravka, okres Bratislava",195 000 €
https://www.nehnutelnosti.sk/5336621/directreal-uprostred-ticha-2-izb-byt-46m2-pivnica-vytah-blizkost-horsky-park-ba-i/,"DIRECTREAL|Uprostred ticha 2 izb.byt 46m2, pivnica, výťah, blízkosť Horský park, BA I.","Mozartova, Bratislava I - Staré Mesto, okres Bratislava",150 000 €
https://www.nehnutelnosti.sk/5322371/prijemne-byvanie-s-panoramatickym-vyhladom/,Príjemné bývanie s panoramatickým výhľadom,"Ďumbierska, Bratislava III - Nové Mesto, okres Bratislava",385 000 €
https://www.nehnutelnosti.sk/5323603/slnecnice-viladomy-krasne-zariadeny-a-slnecny-3-izb-byt-s-parkingom/,SLNEČNICE VILADOMY - KRÁSNE ZARIADENÝ a SLNEČNÝ 3-izb. byt s PARKINGOM,"Žltá, Bratislava V - Petržalka, okres Bratislava",320 000 €
https://www.nehnutelnosti.sk/5243820/halo-reality-predaj-jednoizbovy-byt-bratislava-podunajske-biskupice-estonska-exkluzivne-halo-r/,"HALO reality - Predaj, jednoizbový byt Bratislava Podunajské Biskupice, Estónska - EXKLUZÍVNE HALO R","Bratislava II - Podunajské Biskupice, okres Bratislava",Cena dohodou
https://www.nehnutelnosti.sk/5186299/nadstandardny-2-izbovy-byt-s-terasou-a-zahradou/,Nadštandardný 2 izbový byt s terasou a záhradou,"Devínska cesta, Bratislava IV - Devín, okres Bratislava",Cena dohodou
https://www.nehnutelnosti.sk/5332890/nova-cena-3-izb-byt-pod-hradom-95m2-po-rekonstrukcii-balkon-garaz/,"NOVÁ CENA 3-izb byt pod hradom, 95m2, po rekonštrukcii, balkón, garáž","Zámocká, Bratislava I - Staré Mesto, okres Bratislava",399 900 €
https://www.nehnutelnosti.sk/5264667/impreal-petrzalka-ovsiste-plnohodnotny-2-izbovy-byt-nizke-mesacne-naklady-kompletna-rek/,IMPREAL »»» Petržalka / Ovsište »» Plnohodnotný 2-izbový byt » nízke mesačné náklady » kompletná rek,"Mamateyova, Bratislava V - Petržalka, okres Bratislava",149 000 €
https://www.nehnutelnosti.sk/5224663/prijemny-3-izbacik-v-super-lokalite-za-paradnu-cenu/,Príjemný 3-Izbáčik v super lokalite za parádnu cenu,"Jasovská, Bratislava V - Petržalka, okres Bratislava",166 900 €
https://www.nehnutelnosti.sk/5060575/utulny-1-izbovy-byt-na-predaj-v-dubravke-za-vynikajucu-cenu/,Útulný 1-Izbový byt na predaj v Dúbravke za vynikajúcu cenu,"Bílikova, Bratislava IV - Dúbravka, okres Bratislava",114 000 €
https://www.nehnutelnosti.sk/5162308/elyzia-i-predaj-top-priestranny-2-izbovy-byt-74-28-m2-budovatelska-ul-bratislava-ii/,"ELYZIA I PREDAJ - TOP! Priestranný 2 izbový byt 74,28 m2, Budovateľská ul., Bratislava II.","Budovateľská, Bratislava II - Ružinov, okres Bratislava",245 000 €
