,link,name,adr,price,price_for_m2,total_area
3624,https://www.nehnutelnosti.sk/4715800/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,187000.0,3637.42,51
3619,https://www.nehnutelnosti.sk/4715758/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,186000.0,3617.97,51
3616,https://www.nehnutelnosti.sk/4715803/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,188000.0,3656.88,51
3614,https://www.nehnutelnosti.sk/5274738/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,192000.0,3734.68,51
3609,https://www.nehnutelnosti.sk/4715780/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,186000.0,3617.97,51
3598,https://www.nehnutelnosti.sk/4715778/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,206000.0,3522.57,58
3595,https://www.nehnutelnosti.sk/4715770/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,208000.0,3556.77,58
3593,https://www.nehnutelnosti.sk/5274746/2-izbovy-byt-s-balkonom-v-premiovej-lokalite/,2 izbový byt s balkónom v prémiovej lokalite,záhorskábystrica,186000.0,3617.97,51
3605,https://www.nehnutelnosti.sk/4715771/2-izbovy-byt-s-predzahradkou-v-premiovej-lokalite/,2 izbový byt s predzáhradkou v prémiovej lokalite,záhorskábystrica,213000.0,3550.59,60
3600,https://www.nehnutelnosti.sk/4715752/2-izbovy-byt-s-predzahradkou-v-premiovej-lokalite/,2 izbový byt s predzáhradkou v prémiovej lokalite,záhorskábystrica,222000.0,3700.62,60
3636,https://www.nehnutelnosti.sk/5274740/2-izbovy-byt-s-predzahradkou-v-premiovej-lokalite/,2 izbový byt s predzáhradkou v prémiovej lokalite,záhorskábystrica,222000.0,3700.62,60
3643,https://www.nehnutelnosti.sk/4715799/2-izbovy-byt-so-smart-rieseniami/,2 izbový byt so smart riešeniami,záhorskábystrica,192000.0,3548.33,54
3596,https://www.nehnutelnosti.sk/4715802/2-izbovy-byt-so-smart-rieseniami/,2 izbový byt so smart riešeniami,záhorskábystrica,196000.0,3622.25,54
10027,https://www.topreality.sk/2-izbovy-klimatizovany-byt-na-predaj-v-raci-r8546162.html,2 izbový klimatizovaný byt na predaj v Rači,prišajbáchrača,140140.0,2806.542,50
1430,https://www.nehnutelnosti.sk/5366149/2-izbovy-klimatizovany-byt-na-predaj-v-raci/,2 izbový klimatizovaný byt na predaj v Rači,prišajbáchrača,139990.0,2806.54,50
6211,https://www.reality.sk//byty/2-izbovy-klimatizovany-byt-na-predaj-v-raci/JuAsgSMfYCB/,2 izbový klimatizovaný byt na predaj v Rači,prišajbáchrača,139990.0,2807.0,50
8567,https://www.topreality.sk/2-izbovy-slnecny-byt-bratislava-komarnicka-ulica-predaj-r8559138.html,2 izbový slnečný byt Bratislava - Komarnická ulica - PREDAJ,komárnickáružinov,170160.0,3352.862,51
4928,https://www.reality.sk//byty/2-izbovy-slnecny-byt-bratislava-komarnicka-ulica-predaj/Ju5BOxWvnX_/,2 izbový slnečný byt Bratislava - Komarnická ulica - PREDAJ,komárnickáružinov,169990.0,3353.0,51
1555,https://www.nehnutelnosti.sk/5380061/2-izbovy-slnecny-byt-bratislava-komarnicka-ulica-predaj/,2 izbový slnečný byt Bratislava - Komarnická ulica - PREDAJ,komárnickáružinov,169990.0,3352.86,51
9533,https://www.topreality.sk/2-5-izbovy-byt-s-predzahradkou-a-parkingom-r8558565.html,"2,5 izbový byt s predzáhradkou a parkingom",hradskávrakuňa,201180.0,1446.042,139
5815,https://www.reality.sk//byty/2-5-izbovy-byt-s-predzahradkou-a-parkingom/JuOx4YE_Erg/,"2,5 izbový byt s predzáhradkou a parkingom",hradskávrakuňa,201000.0,1446.0,139
8456,https://www.topreality.sk/2-izbovy-byt-na-predaj-v-bratislave-r8229591.html,2-Izbový byt na predaj v Bratislave,kazanskápodunajskébiskupice,139000.0,2527.272,55
4855,https://www.reality.sk//byty/2-izbovy-byt-na-predaj-v-bratislave/Ju5xVdqUnWO/,2-Izbový byt na predaj v Bratislave,kazanskápodunajskébiskupice,139000.0,2527.0,55
1457,https://www.nehnutelnosti.sk/5020367/2-izbovy-byt-na-predaj-v-bratislave/,2-Izbový byt na predaj v Bratislave,kazanskápodunajskébiskupice,139000.0,2527.27,55
1722,https://www.nehnutelnosti.sk/5382630/2-izbovy-byt-na-predaj-v-bratislave/,2-Izbový byt na predaj v Bratislave,kazanskápodunajskébiskupice,149000.0,2709.09,55
8707,https://www.topreality.sk/2-izbovy-byt-na-predaj-v-bratislave-r8561500.html,2-Izbový byt na predaj v Bratislave,kazanskápodunajskébiskupice,149000.0,2709.092,55
